from.id    from.cord  to.id      to.cord
     2       100000     25      1250000
    28      1400000     38      1900000
    39      1950000     49      2450000
    50      2500000     89      4450000
    90      4500000    129      6450000
   130      6500000    134      6700000
   135      6750000    142      7100000
   146      7300000    159      7950000
   160      8000000    167      8350000
   169      8450000    183      9150000
   184      9200000    223     11150000
   224     11200000    259     12950000
   261     13050000    300     15000000
   301     15050000    340     17000000
   341     17050000    380     19000000
   381     19050000    420     21000000
   421     21050000    427     21350000
   428     21400000    467     23350000
   542     27100000    563     28150000
   564     28200000    603     30150000
   604     30200000    643     32150000
   644     32200000    683     34150000
   684     34200000    719     35950000
   722     36100000    730     36500000
   731     36550000    739     36950000
   742     37100000    747     37350000
   751     37550000    790     39500000
   791     39550000    811     40550000
   815     40750000    819     40950000
   823     41150000    840     42000000
   841     42050000    842     42100000
   843     42150000    847     42350000
   865     43250000    871     43550000
   873     43650000    912     45600000
   913     45650000    952     47600000
   956     47800000    960     48000000
   964     48200000    974     48700000
   977     48850000    985     49250000
   986     49300000    995     49750000
   997     49850000   1006     50300000
  1008     50400000   1047     52350000
  1048     52400000   1087     54350000
  1088     54400000   1090     54500000
  1092     54600000   1101     55050000
  1102     55100000   1141     57050000
  1142     57100000   1165     58250000
