from.id    from.cord  to.id      to.cord
     0            0     25      1250000
    26      1300000     65      3250000
    66      3300000    105      5250000
   106      5300000    145      7250000
   146      7300000    185      9250000
   186      9300000    225     11250000
   226     11300000    265     13250000
   266     13300000    305     15250000
   306     15300000    345     17250000
   346     17300000    385     19250000
   386     19300000    425     21250000
   426     21300000    427     21350000
   428     21400000    467     23350000
   534     26700000    567     28350000
   568     28400000    607     30350000
   608     30400000    647     32350000
   648     32400000    687     34350000
   688     34400000    727     36350000
   728     36400000    767     38350000
   768     38400000    807     40350000
   808     40400000    843     42150000
   844     42200000    875     43750000
   876     43800000    915     45750000
   916     45800000    955     47750000
   956     47800000    995     49750000
   996     49800000   1035     51750000
  1036     51800000   1075     53750000
  1076     53800000   1115     55750000
  1116     55800000   1155     57750000
  1156     57800000   1163     58150000
  1164     58200000   1170     58500000
