from.id    from.cord  to.id      to.cord
     3       150000     10       500000
    11       550000     14       700000
    15       750000     23      1150000
    24      1200000     41      2050000
    42      2100000     46      2300000
    47      2350000     86      4300000
    87      4350000    126      6300000
   127      6350000    137      6850000
   138      6900000    142      7100000
   143      7150000    162      8100000
   163      8150000    167      8350000
   168      8400000    172      8600000
   173      8650000    180      9000000
   181      9050000    220     11000000
   221     11050000    258     12900000
   259     12950000    261     13050000
   262     13100000    301     15050000
   302     15100000    341     17050000
   342     17100000    381     19050000
   382     19100000    421     21050000
   422     21100000    430     21500000
   431     21550000    462     23100000
   463     23150000    467     23350000
   468     23400000    472     23600000
   473     23650000    474     23700000
   553     27650000    560     28000000
   561     28050000    600     30000000
   601     30050000    640     32000000
   641     32050000    680     34000000
   681     34050000    720     36000000
   721     36050000    722     36100000
   723     36150000    727     36350000
   728     36400000    742     37100000
   743     37150000    747     37350000
   748     37400000    787     39350000
   788     39400000    814     40700000
   815     40750000    819     40950000
   820     41000000    851     42550000
   864     43200000    869     43450000
   870     43500000    909     45450000
   910     45500000    949     47450000
   950     47500000    955     47750000
   956     47800000    960     48000000
   961     48050000    977     48850000
   978     48900000    982     49100000
   983     49150000    998     49900000
   999     49950000   1004     50200000
  1005     50250000   1044     52200000
  1045     52250000   1084     54200000
  1085     54250000   1093     54650000
  1094     54700000   1098     54900000
  1099     54950000   1138     56900000
  1139     56950000   1168     58400000
