from.id    from.cord  to.id      to.cord
     0            0     10       500000
    11       550000     50      2500000
    51      2550000     90      4500000
    91      4550000    130      6500000
   131      6550000    170      8500000
   171      8550000    210     10500000
   211     10550000    250     12500000
   251     12550000    290     14500000
   291     14550000    330     16500000
   331     16550000    370     18500000
   371     18550000    410     20500000
   411     20550000    429     21450000
   430     21500000    469     23450000
   550     27500000    569     28450000
   570     28500000    609     30450000
   610     30500000    649     32450000
   650     32500000    689     34450000
   690     34500000    729     36450000
   730     36500000    769     38450000
   770     38500000    809     40450000
   810     40500000    849     42450000
   850     42500000    889     44450000
   890     44500000    929     46450000
   930     46500000    969     48450000
   970     48500000   1009     50450000
  1010     50500000   1049     52450000
  1050     52500000   1089     54450000
  1090     54500000   1129     56450000
  1130     56500000   1169     58450000
