from.id    from.cord  to.id      to.cord
     3       150000     11       550000
    12       600000     13       650000
    14       700000     20      1000000
    21      1050000     40      2000000
    41      2050000     47      2350000
    48      2400000     87      4350000
    88      4400000    127      6350000
   128      6400000    136      6800000
   137      6850000    143      7150000
   144      7200000    161      8050000
   162      8100000    168      8400000
   169      8450000    171      8550000
   172      8600000    180      9000000
   181      9050000    220     11000000
   221     11050000    260     13000000
   261     13050000    300     15000000
   301     15050000    340     17000000
   341     17050000    380     19000000
   381     19050000    420     21000000
   421     21050000    433     21650000
   434     21700000    462     23100000
   463     23150000    473     23650000
   553     27650000    560     28000000
   561     28050000    600     30000000
   601     30050000    640     32000000
   641     32050000    680     34000000
   681     34050000    720     36000000
   722     36100000    728     36400000
   729     36450000    741     37050000
   742     37100000    748     37400000
   749     37450000    788     39400000
   789     39450000    813     40650000
   814     40700000    820     41000000
   821     41050000    850     42500000
   865     43250000    870     43500000
   871     43550000    910     45500000
   911     45550000    950     47500000
   951     47550000    954     47700000
   955     47750000    961     48050000
   962     48100000    976     48800000
   977     48850000    983     49150000
   984     49200000    997     49850000
   998     49900000   1005     50250000
  1006     50300000   1045     52250000
  1046     52300000   1085     54250000
  1086     54300000   1092     54600000
  1093     54650000   1099     54950000
  1100     55000000   1139     56950000
  1140     57000000   1167     58350000
