from.id    from.cord  to.id      to.cord
     0            0     12       600000
    13       650000     52      2600000
    53      2650000     92      4600000
    93      4650000    132      6600000
   133      6650000    172      8600000
   173      8650000    212     10600000
   213     10650000    252     12600000
   253     12650000    292     14600000
   293     14650000    332     16600000
   333     16650000    372     18600000
   373     18650000    412     20600000
   413     20650000    427     21350000
   428     21400000    467     23350000
   508     25400000    547     27350000
   548     27400000    571     28550000
   572     28600000    611     30550000
   612     30600000    651     32550000
   652     32600000    691     34550000
   692     34600000    731     36550000
   732     36600000    771     38550000
   772     38600000    811     40550000
   812     40600000    851     42550000
   852     42600000    891     44550000
   892     44600000    931     46550000
   932     46600000    971     48550000
   972     48600000   1011     50550000
  1012     50600000   1051     52550000
  1052     52600000   1091     54550000
  1092     54600000   1131     56550000
