from.id    from.cord  to.id      to.cord
     0            0     39      1950000
    40      2000000     79      3950000
    80      4000000    119      5950000
   120      6000000    159      7950000
   160      8000000    199      9950000
   200     10000000    239     11950000
   240     12000000    279     13950000
   280     14000000    319     15950000
   320     16000000    359     17950000
   360     18000000    399     19950000
   554     27700000    593     29650000
   594     29700000    633     31650000
   634     31700000    673     33650000
   674     33700000    713     35650000
   714     35700000    753     37650000
   754     37700000    793     39650000
   794     39700000    833     41650000
   834     41700000    873     43650000
   874     43700000    913     45650000
   914     45700000    953     47650000
   954     47700000    993     49650000
   994     49700000   1033     51650000
  1034     51700000   1073     53650000
  1074     53700000   1113     55650000
  1114     55700000   1153     57650000
