from.id    from.cord  to.id      to.cord
     0            0     36      1800000
    37      1850000     76      3800000
    77      3850000    116      5800000
   117      5850000    156      7800000
   157      7850000    196      9800000
   197      9850000    236     11800000
   237     11850000    276     13800000
   277     13850000    316     15800000
   317     15850000    356     17800000
   357     17850000    396     19800000
   397     19850000    421     21050000
   422     21100000    461     23050000
   536     26800000    574     28700000
   575     28750000    614     30700000
   615     30750000    654     32700000
   655     32750000    694     34700000
   695     34750000    734     36700000
   735     36750000    774     38700000
   775     38750000    814     40700000
   815     40750000    837     41850000
   838     41900000    877     43850000
   878     43900000    881     44050000
   882     44100000    921     46050000
   922     46100000    961     48050000
  1002     50100000   1041     52050000
  1042     52100000   1081     54050000
  1082     54100000   1121     56050000
  1122     56100000   1157     57850000
  1158     57900000   1165     58250000
